time (s)	coil I (A)	last det (V)	int current (uC)
9597.581796	0.893405	0.381753	400.245239
9597.582661	1.314796	0.381753	1537.543823
9597.583767	1.324003	0.381753	3001.890625
9597.584761	1.293838	0.381753	4287.965332
9597.585630	1.265944	0.381753	5388.070312
9597.586730	1.232553	0.381753	6743.877930
9597.587760	1.201787	0.381753	7981.718750
9597.588658	1.176149	0.381753	9037.900391
9597.589593	1.150975	0.381753	10114.062500
9597.590658	1.125857	0.381753	11313.100586
9597.591599	1.105221	0.381753	12353.113281
9597.592464	1.083131	0.381753	13290.021484
9597.593516	1.057749	0.381753	14402.773437
9597.594536	1.033173	0.381753	15456.609375
9597.595415	1.012731	0.381753	16346.799805
9597.596426	0.696643	0.381753	17051.105469
9597.597483	0.095537	0.381753	17152.087891
9597.598384	0.083789	0.381753	17227.582031
9597.599240	0.083910	0.381753	17299.408203
9597.600340	0.083983	0.381753	17391.789062
9597.601337	0.083899	0.381753	17475.435547
9597.602204	0.083914	0.381753	17548.189453
9597.603189	0.083947	0.381753	17630.876953
9597.604239	0.083906	0.381753	17718.978516
9597.605136	0.083925	0.381753	17794.259766
9597.605999	0.083914	0.381753	17866.677734
9598.447040	0.860072	0.420892	365.530609
9598.448047	1.320809	0.420892	1695.585693
9598.448978	1.326061	0.420892	2930.148437
9598.449841	1.299576	0.420892	4051.682861
9598.450930	1.265984	0.420892	5430.339355
9598.451815	1.237965	0.420892	6525.938477
9598.452680	1.211777	0.420892	7574.125977
9598.453572	1.185125	0.420892	8631.256836
9598.454624	1.156985	0.420892	9848.405273
9598.455518	1.133452	0.420892	10861.710937
9598.456397	1.116691	0.420892	11843.282227
9598.457406	1.091755	0.420892	12944.863281
9598.458331	1.068193	0.420892	13932.942383
9598.459254	1.046089	0.420892	14898.482422
9598.460126	1.024896	0.420892	15792.192383
9598.461195	1.001162	0.420892	16862.433594
9598.462080	0.331743	0.420892	17156.025391
9598.463006	0.085415	0.420892	17235.119141
9598.463869	0.083844	0.420892	17307.476562
9598.464833	0.083866	0.420892	17388.324219
9598.465757	0.083884	0.420892	17465.833984
9598.466631	0.083859	0.420892	17539.126953
9598.467642	0.083943	0.420892	17623.994141
9598.468532	0.083932	0.420892	17698.693359
9598.469448	0.083884	0.420892	17775.531250
9598.470323	0.083906	0.420892	17848.949219
9599.646243	0.918010	0.376222	485.627411
9599.647305	1.328485	0.376222	1896.478638
9599.648212	1.322201	0.376222	3095.714844
9599.649085	1.293918	0.376222	4225.305664
9599.650175	1.260341	0.376222	5599.077148
9599.651171	1.229927	0.376222	6824.083984
9599.652067	1.203384	0.376222	7902.315918
9599.653070	1.175372	0.376222	9081.213867
9599.654133	1.146746	0.376222	10300.204102
9599.655023	1.125747	0.376222	11302.119141
9599.655913	1.105726	0.376222	12286.215820
9599.657032	1.078561	0.376222	13493.125000
9599.657988	1.055277	0.376222	14501.969727
9599.658865	1.034114	0.376222	15408.887695
9599.659927	1.009589	0.376222	16481.070312
9599.660957	0.553326	0.376222	17050.996094
9599.661858	0.090970	0.376222	17132.960937
9599.662830	0.083807	0.376222	17214.421875
9599.663873	0.083738	0.376222	17301.759766
9599.664786	0.083862	0.376222	17378.326172
9599.665643	0.083837	0.376222	17450.173828
9599.666701	0.083932	0.376222	17538.974609
9599.667704	0.083833	0.376222	17623.058594
9599.668575	0.083899	0.376222	17696.134766
9599.669563	0.083840	0.376222	17778.968750
9599.670609	0.083932	0.376222	17866.761719
9600.510396	0.869326	0.429320	371.202271
9600.511382	1.320835	0.429320	1673.545410
9600.512306	1.326387	0.429320	2899.126709
9600.513188	1.299836	0.429320	4045.582520
9600.514150	1.269950	0.429320	5267.274414
9600.515099	1.240426	0.429320	6444.438477
9600.516014	1.212568	0.429320	7553.938477
9600.516894	1.186890	0.429320	8598.401367
9600.517886	1.159025	0.429320	9748.154297
9600.518850	1.133767	0.429320	10841.105469
9600.519770	1.116156	0.429320	11867.968750
9600.520646	1.093887	0.429320	12826.213867
9600.521611	1.070314	0.429320	13859.066406
9600.522566	1.047444	0.429320	14859.375000
9600.523458	1.026127	0.429320	15774.679687
9600.524372	1.005527	0.429320	16693.732422
9600.525339	0.460587	0.429320	17139.121094
9600.526257	0.087067	0.429320	17219.048828
9600.527117	0.083936	0.429320	17291.234375
9600.528063	0.083888	0.429320	17370.591797
9600.529014	0.083859	0.429320	17450.341797
9600.529908	0.083939	0.429320	17525.382812
9600.531031	0.083914	0.429320	17619.617187
9600.531985	0.083972	0.429320	17699.726562
9600.532913	0.083954	0.429320	17777.636719
9600.533789	0.083943	0.429320	17851.169922
9600.534763	0.083954	0.429320	17932.941406
9601.707495	0.891698	0.379357	416.422974
9601.708368	1.315730	0.379357	1565.055298
9601.709236	1.328826	0.379357	2718.476074
9601.710313	1.297635	0.379357	4116.029297
9601.711248	1.267863	0.379357	5301.480957
9601.712131	1.240745	0.379357	6397.058594
9601.713101	1.212001	0.379357	7572.699219
9601.714130	1.182275	0.379357	8789.260742
9601.715020	1.157633	0.379357	9819.554687
9601.715886	1.134419	0.379357	10801.960937
9601.716969	1.113069	0.379357	12007.414062
9601.717900	1.089576	0.379357	13021.809570
9601.718778	1.067761	0.379357	13959.303711
9601.719756	1.044576	0.379357	14980.899414
9601.720776	1.020348	0.379357	16021.654297
