crossing time (s)	slope (V/s)	crossing number
8360.872898	4.037916	5395
8362.028083	3.219441	5396
8362.934089	3.275354	5397
8364.092643	3.118646	5398
8364.999798	3.306954	5399
8366.156548	3.240352	5400
8367.067804	3.805606	5401
8368.221457	3.262466	5402
8369.134584	3.475517	5403
8370.289968	3.284914	5404
8371.201496	3.274289	5405
8372.355426	3.144863	5406
8373.263614	3.605627	5407
8374.423328	3.319186	5408
8375.330276	3.514000	5409
8376.490109	3.490624	5410
8377.395617	3.538011	5411
8378.556752	3.405951	5412
8379.461814	3.405675	5413
8380.620593	3.432861	5414
8381.525988	3.481071	5415
8382.686074	3.433485	5416
8383.591495	3.687293	5417
8384.751934	3.498173	5418
8385.657653	3.728270	5419
8386.816884	3.571002	5420
8387.723343	3.683679	5421
8388.881723	3.545420	5422
8389.791600	3.783834	5423
8390.944141	3.542579	5424
8391.858593	3.540356	5425
8393.012385	3.457541	5426
8393.924433	3.310976	5427
8395.078262	3.211757	5428
8395.989610	3.606683	5429
8397.143735	3.327879	5430
8398.055187	3.777974	5431
8399.213648	3.599011	5432
8400.120740	3.554516	5433
8401.278113	3.545288	5434
8402.186465	3.576339	5435
8403.342326	3.253560	5436
8404.253759	3.849473	5437
8405.405161	3.929585	5438
8406.321903	3.741497	5439
8407.471330	3.703060	5440
8408.386569	3.427777	5441
8409.538890	3.278917	5442
8410.450882	3.685697	5443
8411.603713	3.294380	5444
8412.515583	3.788233	5445
8413.670802	3.607294	5446
8414.581568	3.596564	5447
8415.739016	3.228984	5448
8416.646224	3.361481	5449
8417.804452	3.206239	5450
8418.712439	3.497874	5451
8419.870222	3.352929	5452
8420.778981	3.558964	5453
8421.934097	3.453649	5454
8422.845236	3.908047	5455
8424.000361	3.382766	5456
8424.906200	3.581496	5457
8426.067246	3.563039	5458
8426.972272	3.559298	5459
8428.132890	3.341311	5460
8429.038536	3.313415	5461
8430.196905	3.447912	5462
8431.107094	3.656547	5463
8432.264099	3.410155	5464
8433.173757	3.689488	5465
8434.327605	3.640181	5466
8435.240571	3.729314	5467
8436.390728	3.660169	5468
8437.307207	3.862574	5469
8438.456997	3.636576	5470
8439.373296	3.429139	5471
8440.524064	3.361449	5472
8441.436828	3.336516	5473
8442.588268	3.208437	5474
8443.501641	4.005583	5475
8444.659827	3.562163	5476
8445.567715	3.720735	5477
8446.727370	3.363199	5478
8447.633685	3.588244	5479
8448.790686	3.185181	5480
8449.697944	3.494866	5481
8450.856716	3.312026	5482
8451.767017	3.718134	5483
8452.920134	3.642839	5484
8453.833150	3.760486	5485
8454.985093	3.789138	5486
8455.901031	3.706453	5487
8457.051863	3.582736	5488
8457.967382	3.725404	5489
8459.116952	3.560129	5490
8460.033252	3.572884	5491
8461.182918	3.531061	5492
8462.099300	3.566533	5493
8463.248567	3.478574	5494
8464.165299	3.593665	5495
8465.313918	3.365059	5496
8466.232099	3.568217	5497
8467.379532	3.314934	5498
8468.296413	3.705480	5499
8469.445701	3.367049	5500
8470.361460	3.677903	5501
8471.513251	3.299700	5502
8472.428175	3.818915	5503
8473.579895	3.273199	5504
8474.492902	3.664992	5505
8475.648585	3.381177	5506
8476.559229	3.475697	5507
8477.714532	3.403835	5508
8478.624384	3.507939	5509
8479.781033	3.345278	5510
8480.690834	3.539811	5511
8481.846300	3.517238	5512
8482.759238	3.672059	5513
8483.912168	3.532110	5514
8484.824882	3.646857	5515
8485.976247	3.748701	5516
8486.893420	3.446397	5517
8488.039733	3.657948	5518
8488.959371	3.519969	5519
8490.106459	3.526478	5520
8491.024197	3.448808	5521
8492.172112	3.370965	5522
8493.089152	3.639124	5523
8494.237702	3.308751	5524
8495.155663	3.618897	5525
8496.305191	3.393477	5526
8497.220809	3.727046	5527
8498.370864	3.448776	5528
8499.287862	3.807172	5529
8500.438732	3.436822	5530
8501.352897	3.816652	5531
8502.503145	3.523166	5532
8503.419458	3.796969	5533
8504.568770	3.550374	5534
8505.486127	3.858527	5535
8506.637686	3.571506	5536
8507.551603	3.748171	5537
8508.700294	3.617125	5538
8509.618287	3.857776	5539
8510.767367	3.757587	5540
8511.685605	3.645852	5541
8512.834787	3.690926	5542
8513.752173	3.577496	5543
8514.900307	3.556972	5544
8515.818496	3.400939	5545
8516.966936	3.358716	5546
8517.882864	3.451697	5547
8519.033337	3.365624	5548
8519.949558	3.765573	5549
8521.100522	3.447910	5550
8522.014242	3.653769	5551
8523.168047	3.407829	5552
8524.079865	3.788317	5553
8525.235150	3.379600	5554
8526.145694	3.678867	5555
8527.302864	3.404992	5556
8528.213708	3.539312	5557
8529.369646	3.344481	5558
8530.279923	3.457457	5559
8531.436820	3.357504	5560
8532.347210	3.651996	5561
8533.498615	3.484136	5562
8534.413906	3.841208	5563
8535.565740	3.653356	5564
8536.480200	3.695964	5565
8537.631734	3.566607	5566
8538.546505	3.870747	5567
8539.696338	3.554991	5568
8540.613332	3.894461	5569
8541.762797	3.681703	5570
8542.680956	3.954506	5571
8543.829646	3.496956	5572
8544.747573	3.756557	5573
8545.896004	3.464210	5574
8546.812405	3.660741	5575
8547.963346	3.424924	5576
8548.878544	3.534461	5577
8550.030223	3.444713	5578
8550.944985	3.550459	5579
8552.098435	3.347539	5580
8553.010832	3.487909	5581
8554.164950	3.425338	5582
8555.077372	3.644098	5583
8556.232638	3.371443	5584
8557.144882	3.601249	5585
8558.297577	3.384847	5586
8559.209906	3.726064	5587
8560.363202	3.462865	5588
8561.278918	3.775015	5589
8562.428332	3.558901	5590
8563.346502	3.743489	5591
8564.496488	3.529283	5592
8565.413774	3.679303	5593
8566.561194	3.508100	5594
8567.480303	3.562767	5595
8568.626822	3.528827	5596
8569.548277	3.521484	5597
8570.694993	3.392455	5598
8571.614313	3.476598	5599
8572.760698	3.447420	5600
8573.680842	3.543549	5601
8574.828372	3.424098	5602
8575.749071	3.600337	5603
8576.895744	3.348702	5604
